no,plant_type,disease,disease_label,solution
11,Chili,whitefly,Whitefly,"## Whitefly pada Tanaman

**Whitefly** adalah serangga kecil berwarna putih yang sering ditemukan di bawah daun tanaman. Mereka menghisap cairan dari daun tanaman, mengurangi daya fotosintesis, dan dapat menyebarkan virus tanaman seperti *Tomato yellow leaf curl virus*.

### Penyebab:
- **Serangga whitefly** (misalnya *Bemisia tabaci*).
- Penyebaran virus melalui infeksi oleh serangga penghisap.

### Gejala:
- Daun **menguning**, melengkung, dan akhirnya rontok.
- Ditemukan banyak **whitefly** di bagian bawah daun, terutama saat daun digoyang.
- Produksi **getah berlebihan** yang dapat menyebabkan *sooty mold* (jamur jelaga) tumbuh di permukaan daun.

### Pengendalian:
- Gunakan **insektisida** berbahan dasar neem oil atau pestisida organik lainnya.
- Pasang **perangkap kuning** untuk menarik whitefly.
- Cegah infeksi lebih lanjut dengan **memangkas** dan membuang daun yang terinfeksi.
- Gunakan teknik **pengendalian biologis** seperti memperkenalkan predator alami seperti *Encarsia formosa*.
"
12,Chili,yellowish,Daun Kuning,"## Penyebab Daun Kuning pada Tanaman

**Yellowish** kuningnya daun tanaman bisa disebabkan oleh berbagai faktor, termasuk kekurangan unsur hara, serangan hama, penyakit, atau kondisi tanah yang buruk. Hal ini mengganggu fotosintesis dan mempengaruhi kesehatan tanaman secara keseluruhan.

### Penyebab:
- **Kekurangan unsur hara** seperti nitrogen, besi, atau magnesium.
- **Penyiraman yang tidak tepat** (terlalu banyak atau terlalu sedikit air).
- **Hama atau penyakit** seperti aphids, whitefly, atau jamur.
- **Drainase tanah yang buruk** atau kelebihan air yang menyebabkan akar membusuk.

### Gejala:
- Daun berubah warna menjadi **kuning**, biasanya dimulai dari ujung daun atau sepanjang urat daun.
- Terkadang, daun juga bisa **mengering** atau **mengeriput**.
- **Pertumbuhan tanaman terhambat** atau tidak optimal.

### Pengendalian:
- Perbaiki kondisi tanah dengan menambah **pupuk yang mengandung nitrogen**.
- Periksa dan kendalikan serangan **hama** dengan insektisida alami.
- Pastikan tanaman mendapat **air yang cukup**, tetapi tidak berlebihan.
- Perbaiki **drainase tanah** untuk mencegah akar tergenang.
"
13,Spinach,kekurangan_mangan,Kekurangan Mangan,"## Kekurangan Mangan pada Tanaman

**Kekurangan mangan** pada tanaman adalah salah satu jenis kekurangan unsur hara mikro yang sering ditemukan pada tanaman pertanian. Mangan (Mn) merupakan unsur yang sangat penting dalam proses fotosintesis, pembentukan klorofil, dan metabolisme tanaman secara umum. Kekurangan mangan dapat mempengaruhi pertumbuhan tanaman dan mengurangi hasil panen jika tidak segera diatasi. Tanaman yang kekurangan mangan umumnya menunjukkan gejala spesifik yang dapat dikenali dengan baik.

### Penyebab:
- **Tanah dengan pH tinggi** (alkali) dapat mengurangi ketersediaan mangan bagi tanaman. Mangan lebih mudah diserap oleh tanaman pada pH tanah yang sedikit asam (pH 5.5–6.5).
- **Tanah yang kekurangan air** atau memiliki drainase buruk dapat menghambat kemampuan akar untuk menyerap mangan dari tanah.
- **Tanah yang terlalu basa** atau memiliki kandungan kalsium yang tinggi dapat mengikat mangan, sehingga tanaman kesulitan untuk menyerapnya.
- **Kelebihan unsur-unsur tertentu** seperti besi (Fe), tembaga (Cu), dan fosfor (P) dapat menghambat penyerapan mangan oleh tanaman.
- Tanaman yang kekurangan air, tidak mendapatkan cahaya yang cukup, atau memiliki akar yang rusak akan kesulitan dalam menyerap mangan yang tersedia di tanah.

### Gejala:
- **Daun muda** mulai menguning di antara tulang daun (*interveinal chlorosis*), sementara urat daun tetap hijau. Gejala ini sangat khas pada tanaman yang kekurangan mangan.
- Daun yang terinfeksi kekurangan mangan sering menunjukkan **bercak-bercak kecil** yang berwarna coklat atau hitam di bagian tepi atau antara urat daun.
- Tanaman yang kekurangan mangan menunjukkan **pertumbuhan yang lambat**, terutama pada bagian daun muda dan pucuk tanaman.
- Daun yang terpengaruh menjadi lebih kecil dan **misshapen**, serta sering kali menunjukkan pertumbuhan yang kerdil atau terhambat.
- Pada tingkat kekurangan yang lebih parah, ujung daun muda mulai **mengering dan mati**.
- Beberapa tanaman, seperti padi, bisa menunjukkan **bintik putih** atau perubahan warna yang menunjukkan adanya defisiensi mangan.

### Pengendalian:
- Gunakan **pupuk yang mengandung mangan**, seperti sulfat mangan (MnSO₄) atau mangan oksida (MnO), untuk meningkatkan kadar mangan di tanah.
- Pemberian pupuk **foliar** dengan mangan juga dapat menjadi solusi cepat, dengan menyemprotkan pupuk mangan langsung ke daun.
- Jika tanah memiliki pH tinggi, **perbaiki pH tanah** menjadi sedikit asam (pH 5.5–6.5) dengan menggunakan bahan pengatur pH seperti belerang.
- Penggunaan **bahan organik** seperti kompos juga bisa membantu menurunkan pH tanah dan memperbaiki struktur tanah.
- Pastikan tanah memiliki **drainase yang baik** untuk mencegah genangan air yang dapat mengganggu penyerapan mangan oleh tanaman.
- Pada tanah yang terlalu padat atau lempung, pertimbangkan untuk mengaplikasikan bahan organik atau memperbaiki struktur tanah.
- Pastikan tanaman mendapatkan pasokan **unsur hara yang seimbang**, dan hindari kelebihan unsur yang dapat menghambat penyerapan mangan seperti kalsium, fosfor, atau besi.
- Berikan **penyiraman yang cukup** untuk menjaga kelembaban tanah yang optimal, terutama pada tanaman muda atau pada tanaman yang sedang mengalami stres akibat kekeringan.
"
14,Spinach,karat_putih,Karat Putih,"## Karat Putih pada Tanaman

**Karat putih** adalah penyakit yang disebabkan oleh infeksi jamur yang menyerang tanaman. Penyakit ini biasanya terlihat pada bagian daun, batang, atau bagian tanaman lainnya, yang ditandai dengan adanya bercak putih yang menyerupai debu atau bubuk. Jamur penyebab karat putih termasuk dalam golongan *Puccinia*, yang menyebar melalui spora yang mudah terbawa oleh angin atau air. Karat putih dapat mengurangi kualitas dan hasil panen tanaman jika tidak segera dikendalikan. Penyakit ini umumnya menyerang tanaman yang tumbuh dalam kondisi lembap dengan suhu yang cukup hangat.

### Penyebab:
- **Karat putih** disebabkan oleh infeksi jamur dari golongan *Puccinia*. Jamur ini hidup di atas tanaman inang dan berkembang biak dengan cara menghasilkan spora yang sangat kecil dan mudah tersebar oleh angin, air, atau bahkan alat pertanian.
- Beberapa faktor yang mendukung terjadinya karat putih antara lain: kelembapan, suhu, tanah, dan lingkungan sekitarnya.

### Gejala:
- **Bercak Putih**: Muncul bercak putih atau bubuk pada daun yang terinfeksi.
- **Perubahan Warna Daun**: Daun yang terinfeksi menjadi kuning, coklat, dan akhirnya mati.
- **Pertumbuhan Terhambat**: Tanaman tumbuh lebih lambat atau terhambat karena kerusakan pada daun.
- **Deformasi**: Bagian tanaman seperti batang atau buah dapat mengalami kerusakan atau deformasi.
- **Spora Putih**: Massa spora putih terlihat di permukaan tanaman yang terinfeksi.

### Pengendalian:
- **Penggunaan Fungisida**: Aplikasikan fungisida yang tepat untuk membasmi jamur penyebab karat putih.
- **Pemangkasan Tanaman Terinfeksi**: Potong dan buang bagian tanaman yang terinfeksi untuk mencegah penyebaran.
- **Pengaturan Jarak Tanam**: Berikan jarak yang cukup antar tanaman untuk meningkatkan sirkulasi udara.
- **Pengelolaan Kelembaban**: Kurangi kelembaban berlebih dengan cara mengatur irigasi dan tidak menyiram daun langsung.
- **Rotasi Tanaman**: Lakukan rotasi tanaman untuk mencegah jamur berkembang biak terus-menerus.
- **Gunakan Varietas Tahan**: Pilih varietas tanaman yang lebih tahan terhadap penyakit karat putih.
- **Pembersihan Alat Pertanian**: Desinfeksi alat pertanian untuk menghindari penyebaran penyakit.
"
15,Spinach,virus_Keriting,Virus Keriting,"## Virus Keriting pada Tanaman

**Virus keriting** adalah salah satu penyakit yang disebabkan oleh infeksi virus pada tanaman, yang mengakibatkan perubahan morfologi dan fisiologi tanaman. Penyakit ini dapat menyerang berbagai jenis tanaman, terutama tanaman perkebunan dan hortikultura, seperti tembakau, tomat, paprika, kentang, dan cabai. Virus yang menyebabkan keriting pada tanaman biasanya menyebar melalui vektor seperti serangga atau melalui peralatan pertanian yang terkontaminasi. Penyakit ini dapat menurunkan kualitas dan hasil panen tanaman, bahkan dalam beberapa kasus menyebabkan kerugian yang signifikan.

### Penyebab:
- **Serangga penghisap**, seperti kutu daun (aphids), thrips, dan whiteflies, adalah vektor utama yang mentransfer virus dari tanaman satu ke tanaman lainnya.
- Tanaman yang terinfeksi oleh virus menjadi sumber utama penularan bagi tanaman sehat di sekitarnya.
- Penggunaan alat-alat pertanian yang terkontaminasi oleh bagian tanaman yang terinfeksi virus juga dapat menjadi media penyebaran virus.
- Penyiraman tanaman dengan air yang mengandung virus juga bisa menjadi media penularan.

### Gejala:
- **Daun yang mengalami perubahan bentuk**, seperti keriting atau menggulung ke arah bawah.
- Daun yang terinfeksi akan menunjukkan gejala **kekuningan** atau klorosis pada bagian tertentu, terutama pada daun muda.
- Tanaman yang terinfeksi virus keriting biasanya mengalami **pertumbuhan terhambat**, dengan ukuran daun dan batang yang lebih kecil daripada tanaman yang sehat.
- Pada beberapa kasus, **buah dan bunga** juga bisa mengalami penyusutan dan deformasi. Misalnya, buah menjadi kecil atau tidak berkembang dengan baik.
- Beberapa tanaman yang terinfeksi dapat menunjukkan **bercak-bercak** pada batang atau daun yang dapat mengakibatkan layu atau pembusukan.
- **Daun yang terinfeksi dapat mengering** dan rontok lebih awal dari waktu seharusnya.
- Pada tanaman perkebunan atau hortikultura, gejala virus keriting sering mengakibatkan penurunan **kualitas dan hasil panen** yang signifikan, baik dari segi ukuran maupun rasa.

### Pengendalian:
- Gunakan **insektisida** untuk mengendalikan kutu daun, thrips, dan whiteflies.
- Gunakan **insektisida nabati** (minyak neem, sabun insektisida) untuk pengendalian organik.
- Pasang **jebakan atau feromon** untuk menangkap serangga vektor.
- **Cabut dan musnahkan tanaman** yang terinfeksi virus untuk mencegah penyebaran.
- Pilih **varietas tanaman** yang lebih tahan atau resisten terhadap virus keriting.
"
16,Lettuce,Bacterial,Penyakit Bakteri,"## Penyakit Bakteri pada Tanaman Selada

Penyakit ini disebabkan oleh bakteri, biasanya menyerang daun selada, menyebabkan bercak coklat, layu, atau kerusakan jaringan tanaman.

### Penyebab:
- Disebabkan oleh bakteri **Xanthomonas campestris** yang menyebar melalui air, angin, dan alat yang terkontaminasi. Kondisi lembap mempercepat penyebaran.

### Gejala:
- Muncul **bercak kecil berwarna cokelat atau hitam** pada daun. Bercak sering kali dikelilingi area kuning.

### Solusi Pengendalian:
- Gunakan **benih yang bebas penyakit**.
- Hindari **irigasi dari atas** untuk mencegah percikan air yang menyebarkan bakteri.
- **Rotasi tanaman** dengan tanaman non-inang.
- **Sanitasi alat dan lahan** setelah panen.
"
17,Lettuce,"Downy_mildew_on_lettuce
",Jamur Downy Mildew,"## Penyakit Jamur Downy Mildew pada Selada

Penyakit jamur yang menyebabkan bercak kuning atau coklat pada daun, dengan lapisan putih keabuan di bawah daun. Disebabkan oleh **Bremia lactucae** dan sering dipicu oleh kondisi lembab.

### Penyebab:
- Disebabkan oleh jamur **Bremia lactucae**, yang berkembang di lingkungan lembap dan suhu dingin.

### Gejala:
- Muncul **bercak kuning** pada daun yang kemudian berubah menjadi cokelat dan mengering. Pada bagian bawah daun, terdapat lapisan putih seperti kapas.

### Solusi Pengendalian:
- Tanam **varietas selada yang tahan** terhadap downy mildew.
- Pastikan **sirkulasi udara** yang baik di sekitar tanaman.
- Gunakan **fungisida** secara preventif sesuai rekomendasi.
"
18,Lettuce,"Lettuce Mosaic Virus
",Virus Mosaic,"## Virus Pada Selada (Lettuce Mosaic Virus - LMV)

Virus yang menyerang selada, menyebabkan daun keriting, bercak kuning tidak merata, dan pertumbuhan tanaman terganggu. Penularannya biasanya melalui biji atau serangga seperti kutu daun.

### Penyebab:
- Virus ini ditularkan melalui **kutu daun (aphids)** dan **benih yang terinfeksi**.

### Gejala:
- Daun menunjukkan pola **bercak atau mosaik**, pertumbuhan tanaman terhambat, dan hasil panen menurun drastis.

### Solusi Pengendalian:
- Gunakan **benih bersertifikasi bebas LMV**.
- **Kendalikan kutu daun** menggunakan insektisida nabati atau kimia sesuai kebutuhan.
- Hindari menanam selada di **area dengan riwayat infeksi virus**.
"
19,Lettuce,"Powdery_mildew_on_lettuce
",Jamur Powdery Mildew,"## Penyakit Jamur Powdery Mildew pada Tanaman

Penyakit jamur yang ditandai dengan lapisan putih tepung di permukaan daun. Penyakit ini dapat menghambat fotosintesis dan pertumbuhan tanaman.

### Penyebab:
- Disebabkan oleh jamur **Golovinomyces cichoracearum**. Penyakit ini menyebar melalui **spora** yang terbawa angin di lingkungan rumah kaca dengan kelembapan tinggi.

### Gejala:
- Muncul **bercak putih** seperti tepung pada daun, terutama di bagian bawah.

### Solusi Pengendalian:
- **Kurangi kelembapan** dengan ventilasi yang baik dan gunakan **kipas** untuk meningkatkan sirkulasi udara.
- Pilih **varietas yang lebih tahan** terhadap jamur ini.
- Gunakan **fungisida** secara preventif sebelum gejala terlihat.
"
20,Lettuce,Septoria_Blight_on_lettuce,Jamur Septoria,"## Penyakit Jamur Septoria pada Tanaman Selada

Penyakit jamur yang menyebabkan bercak coklat atau hitam kecil pada daun, sering kali dengan tepi yang lebih gelap. Disebabkan oleh **Septoria lactucae** dan dapat menyebar melalui air atau angin.

### Penyebab:
- Disebabkan oleh jamur **Septoria lactucae**. Spora menyebar melalui **air hujan** atau irigasi yang memercik.

### Gejala:
- Muncul **bercak kecil** pada daun yang berwarna cokelat dengan pinggiran gelap. Daun yang terinfeksi berat akan mati.

### Solusi Pengendalian:
- Lakukan **rotasi tanaman** dengan tanaman non-inang.
- **Hilangkan** sisa-sisa tanaman yang terinfeksi setelah panen.
- Gunakan **fungisida** yang direkomendasikan untuk **Septoria**.
"
